"tree_id","perimeter_cm","hull_perimeter_cm","convexity","area_cm2","hull_area_cm2","area_ratio","DBH_cm","perimeter_to_area","deepest_concave_depth_cm","concave_depth_over_dbh","sapwood_depth_cm","r_sapwood","r_steiner","swd_minus_r_steiner","incircle_R_cm","R_cm","r_in","sapflow_ref","r_in_pred","r_steiner_pred","sapflow_circ","sapflow_steiner","sapflow_corr","SF_circ_bias","SF_steiner_bias","SF_corr_bias"
"1013",413.255245731185,358.277315546629,0.866963745161221,7202.98671896931,9024.76796407392,0.798135392249772,114.043211533881,0.0573727624185205,22.7813611211716,0.199760782029568,16.30195097,0.28589077334352,0.145413657464923,0.140477115878596,36.2,57.0216057669407,0.634847081437114,5908.60316828487,0.624035425082559,0.154903831353374,5259.53608786733,6155.78361016804,6100.87983651548,-0.109851188501115,0.0418339893276196,0.032541814495629
"1014",474.381420517004,348.79576098952,0.735264379893684,6788.2117132438,8707.81635609923,0.779553844000065,111.025138981963,0.069883120998051,29.1626999847638,0.262667538650878,16.18548177,0.291564269469269,0.0730908156213122,0.218473453847957,28.25,55.5125694909813,0.508893756117514,6352.59559060971,0.535503027729947,0.0964444869877245,5072.61771713738,7105.2821199929,6795.8995069683,-0.201488959153069,0.118484880494486,0.0697831162137693
"100",43.3877513952953,43.3724097035298,0.999646405004361,148.033611028643,148.096830922053,0.999573117851225,13.8058667962473,0.293093920318544,0.322836356115877,0.0233839976062661,7.132832597,1,0.887207976012854,0.112792023987146,6.45,6.90293339812366,0.934385373289742,197.832306551356,0.932260377670792,0.89598615951276,195.206749785738,195.31265246221,195.239007193455,-0.0132716279326988,-0.0127363125521252,-0.0131085736354538
"99",140.081908013177,137.493691609312,0.98152354975332,1379.52234296719,1428.85881735855,0.965471414115941,43.7656013271492,0.101543776168117,3.66480628045215,0.0837371398843035,12.1430116,0.554911219394914,0.346448334578932,0.208462884815981,18.1,21.8828006635746,0.8271336141232,1363.76707721189,0.79165022155841,0.409419447671191,1347.17494689878,1378.60368871423,1376.08738689274,-0.0121663959999885,0.0108791389308755,0.00903402779456958
"98",159.826095611023,159.635314466131,0.998806320431199,1990.79011085917,1993.58762602373,0.998596743314392,50.8134987786276,0.0802827453980301,0.471810877722831,0.00928514841653211,12.79140717,0.503464924772317,0.833076116808896,-0.329611192036579,23.15,25.4067493893138,0.911175201725608,1684.98259482891,0.907648954692198,0.799234342794277,1684.19702967576,1686.63738898043,1686.63738898043,-0.000466215589146207,0.000982083824844343,0.000982083824844343
"149",186.191963998873,174.530149759531,0.937366715572043,2157.12215483853,2288.0639564745,0.942771791293052,55.5546721055963,0.0863149838692422,5.4444317878929,0.0980013306089599,13.17878238,0.474443710330978,0.234597897666296,0.239845812664682,21.25,27.7773360527981,0.765012165299393,2036.19675196628,0.717774212695391,0.236938699740125,1920.33445428543,2074.0229663017,2043.15002072671,-0.0569013272263396,0.0185768955278486,0.00341483147623957
"87",120.771861121791,120.100494276122,0.994441032543232,1079.0357319025,1098.26720075413,0.982489262323025,38.2291746636493,0.111925729196059,2.37028199299193,0.0620019138222658,11.55569198,0.604548336796184,0.60924912800122,-0.0047007912050353,15.8,19.1145873318246,0.826593832538249,1101.32953525296,0.849912231318718,0.599506955923715,1095.86571538102,1103.62382385516,1103.6238027598,-0.00496111263435866,0.00208319901425036,0.00208317985980039
"85",61.3765672792363,61.3210912591055,0.999096136806112,290.095598590212,290.591584319426,0.998293186189906,19.5191095793517,0.211573590145835,0.386388102438389,0.0197953754431058,8.636641789,0.884942189999924,0.746314446784242,0.138627743215682,8.65,9.75955478967585,0.886310921595564,365.709361090601,0.912884637262161,0.826069989616074,366.51018988852,366.98931640227,366.967744745898,0.00218979573159251,0.00349992493452257,0.003440939142341
"1015",235.698063936887,227.245587426259,0.9641385407693,3772.5521342805,3948.65034147637,0.955402937214736,72.3345170694213,0.0624770859480354,10.581877741552,0.146290846614712,14.32491496,0.396074116213481,0.354097345544043,0.0419767706694379,29.9,36.1672585347106,0.826714581402519,2919.50687508328,0.735381629237032,0.310422792049604,2806.58699335177,2927.66800056791,2925.47092827131,-0.0386777242058337,0.00279537806685238,0.00204282895818224
"1016",227.880684423582,192.650732297194,0.845401762700944,1992.71923154339,2402.04836994438,0.829591633739472,61.3226326707437,0.114356644336234,24.9310739922249,0.406555832755681,13.60774047,0.443808097511511,0.123884740414277,0.319923357097235,16.35,30.6613163353718,0.533245207777924,2394.08261115411,0.522288611035996,0.140898747181454,2216.65666967945,2696.05671498586,2481.21465815379,-0.0741102001443196,0.126133535419722,0.0363947537122273
"1004",131.357461392418,130.560626715137,0.993933845334443,1320.69600641963,1332.63441140527,0.991041500291856,41.5587382297796,0.0994607848845736,1.90986932076911,0.0459559024677165,11.91832915,0.573565495858088,0.650788648123367,-0.0772231522652789,19.05,20.7793691148898,0.916774705462517,1250.92739015204,0.850201561627728,0.586067390430307,1245.47281111397,1254.96974907595,1254.96974907595,-0.0043604281759339,0.00323148965777733,0.00323148965777733
"1005",80.7238875260249,80.6488899463514,0.999070936968325,503.644427689999,504.812600337238,0.997685928111821,25.6713389796722,0.16027952080453,0.54645513167357,0.0212865847046888,9.82640511,0.765554544527735,0.770557184841579,-0.00500264031384445,11.5,12.8356694898361,0.895940800680967,580.919508505593,0.912021149901203,0.823548506836592,581.359396431073,582.096353031215,582.096353031215,0.000757226980742671,0.00202583061575782,0.00202583061575782
"1006",49.6102497147825,49.5784487221654,0.999358983419758,188.617495440236,188.877119461597,0.998625434239463,15.7813103699214,0.263020403271666,0.325108213996461,0.0206008377235965,7.713566933,0.977557218277868,0.76154901923843,0.216008199039438,6.7,7.89065518496068,0.84910566270466,250.930826858745,0.920567818693056,0.855208445761996,252.328983149676,252.574282234765,252.423361014868,0.00557187934393618,0.00654943594054457,0.00594799042750988
"1007",69.1386318367458,69.0269229628254,0.998384277053902,363.687514797345,365.094632987585,0.996145880922089,21.9719519919142,0.190104496370384,0.667821656264077,0.0303942797849658,9.150675527,0.832941518383755,0.67114263231847,0.161798886065285,9.65,10.9859759959571,0.878392598304533,447.761552511499,0.896406644701958,0.766617554043203,448.552637540402,449.574849199135,449.539336066759,0.00176675515006933,0.00404969269349906,0.00397038009469111
"1008",270.675957057843,267.078403765963,0.98670900315276,5001.84888359712,5178.40587910991,0.965905145399081,85.0136963048922,0.0541151808775126,5.22709328798229,0.0614853078407025,15.02627624,0.353502480026511,0.464553187953259,-0.111050707926748,30.4,42.5068481524461,0.715178878729699,3559.14910733814,0.813606997326851,0.461531367551763,3519.49532530679,3573.5531548587,3573.5531548587,-0.0111413657690234,0.00404704806855562,0.00404704806855562
